offer_result,offer_semester,offer_college_name,offer_professional,user_under_school,user_under_gpa,user_under_subject,user_graduate_school,user_graduate_gpa,user_graduate_subject
被拒,2022 Fall,The University of Sheffield,Computer Science with Speech and Language Processing,北京邮电大学,78/100,other,,,
被拒,2022 Fall,Stockholm University,Computer and Systems Sciences,北京邮电大学,78/100,other,,,
AD无奖,2022 Fall,University Leiden,Artificial Intelligence,北京邮电大学,78/100,other,,,
被拒,2022 Fall,Sorbonne University,Computer Science,北京邮电大学,78/100,other,,,
AD无奖,2022 Fall,Maastricht University,Artificial Intelligence,北京邮电大学,78/100,other,,,
被拒,2022 Fall,Ecole Polytechnique,Artificial Intelligence and advanced Visual Computing,北京邮电大学,78/100,other,,,
Offer,2022 Fall,Technical University of Denmark,computer science and engineering,北京邮电大学,78/100,other,,,
Waiting list,2022 Fall,University of St Andrews,Artificial Intelligence,北京邮电大学,78/100,other,,,
Offer,2022 Summer,Aarhus University,Computer Engineering,北京邮电大学,78/100,other,,,
AD无奖,2022 Fall,The Pennsylvania State University,Computer Science and Engineering,211,86.2/100,other,,,
Offer,2022 Fall,The University of Nottingham,Human Computer Interaction,浙江双非一本,全科均分82.8,other,,,
Offer,2022 Fall,Hong Kong Baptist University,Data Analytics and Artificial Intelligence,浙江双非一本,全科均分82.8,other,,,
AD无奖,2022 Fall,Bishops University,Computer Science,双非,83,other,,,
Offer,2022 Fall,University at Buffalo,Computer Science,211 & 985,3.6/4.0,other,港校,3.6/4.3,
AD无奖,2022 Fall,University Of Southampton,Computer Software Engineering,McMaster University,3.3/4,other,,,
